trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.95}",20,0,-67.17085261937285,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,3,-52.395272436998326,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.8499999999999999}",25,0,-185.03354027522735,"{0: 16, 1: 1, 2: 2, 3: 3, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.7999999999999998}",25,0,-69.80009161373482,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,5,-67.40869866672803,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.6999999999999997}",25,0,-159.64480819095854,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,0,-100.3865430095567,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.5999999999999996}",25,0,-83.42786952617877,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.5499999999999996}",20,0,-33.96772050702926,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.4999999999999996}",20,3,-71.5714017609144,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.4499999999999996}",25,0,-130.67200167204751,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.39999999999999963}",20,0,-73.04523101989768,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.34999999999999964}",25,5,-145.98401529483053,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.8, 'e': 0.29999999999999966}",25,0,-80.92375285035541,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.24999999999999967}",25,0,-76.93789141706931,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.19999999999999968}",20,0,29.503702466146347,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.1499999999999997}",20,0,-72.01031794426393,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.09999999999999969}",20,0,-0.5966903944661989,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.049999999999999684}",20,13,12.355546895548237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': -3.191891195797325e-16}",20,0,-80.27567345413166,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1,True,"{'a': 0.8, 'e': -0.05000000000000032}",20,0,-33.98333284911878,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.8, 'e': -0.10000000000000032}",20,0,-98.98013790143767,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
3,True,"{'a': 0.8, 'e': -0.15000000000000033}",20,10,14.726881206129683,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.8, 'e': -0.20000000000000034}",25,0,13.699977919928322,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.8, 'e': -0.25000000000000033}",20,0,27.45594130994323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.8, 'e': -0.3000000000000003}",20,12,-26.13410831376902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.8, 'e': -0.3500000000000003}",20,7,-11.46094167240931,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0.8, 'e': -0.4000000000000003}",25,16,8.016406801513408,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.8, 'e': -0.4500000000000003}",25,0,-6.131122807961945,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0.8, 'e': -0.5000000000000003}",25,7,-115.8101136711899,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 3}",1
