trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9801}",20,0,-169.4728982000409,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.8, 'e': 0.9702989999999999}",20,0,-53.73765605822994,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.96059601}",20,0,-105.38104450240897,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9509900498999999}",20,0,-88.86810186450758,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9414801494009999}",25,11,-22.5267466539333,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.9320653479069899}",20,3,-91.50306967053781,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.8, 'e': 0.92274469442792}",25,0,-138.18173023889426,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9135172474836407}",20,0,-179.42973325321938,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.9043820750088043}",25,0,-90.57435214388671,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8953382542587163}",20,0,-35.04881120066734,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.8863848717161291}",25,0,-98.08076518449576,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.8775210229989678}",20,0,-195.81148019876468,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.8, 'e': 0.8687458127689781}",20,0,-42.49100480030445,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8600583546412883}",25,0,-91.59665983827578,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.8, 'e': 0.8514577710948754}",20,0,-182.42009902350495,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.8429431933839266}",20,0,-96.16852890588366,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.8345137614500874}",25,0,-139.85832770870624,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
