trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.59188924889014,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.83548250620484,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.626705535355907,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,10,-48.631932962444424,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.90506394985387,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,5,-49.92067007935851,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.03719633900384,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.11578549230726,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.69297865297884,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.07131016986347,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.21253073812375,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,2,-175.20605130579986,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-278.88283851925786,"{0: 6, 1: 3, 2: 11, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.82390573914618,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.92690868011985,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-223.29062697699027,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,14,-36.52552025832626,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.40161365916124,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.80828257837294,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.85534535761482,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,12,-70.00171448989089,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,10,-93.68289530245063,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.8539573110631,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.094102521662094,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.77103339492362,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.775235904305664,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-78.32833956289707,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.31045932620736,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.10484733565855,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.99833207505094,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
